event_link,event_wikidata_id,event_name,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,gold,/wiki/Mete_Gazoz,Q20988356,Mete Gazoz,/wiki/Turkey_at_the_2020_Summer_Olympics,Q42914036,Turkey at the 2020 Summer Olympics,Q43,Turkey,1999-06-08,Q6581097,male,Q406,Istanbul,"41.01,28.960277777778",41.01,28.960277777778,Q534799,Istanbul Province,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,silver,/wiki/Mauro_Nespoli,Q670425,Mauro Nespoli,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1987-11-22,Q6581097,male,Q39981,Voghera,"44.9925,9.0091666666667",44.9925,9.0091666666667,Q16231,Province of Pavia,ITC,Nord-Ovest,ITC4,Lombardia,ITC48,Pavia
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,bronze,/wiki/Takaharu_Furukawa,Q276094,Takaharu Furukawa,/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1984-08-09,Q6581097,male,Q146790,Aomori,"40.822222222222,140.7475",40.822222222222,140.7475,Q71699,Aomori Prefecture,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,gold,/wiki/Kim_Woo-jin,Q11739253,Kim Woo-Jin,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1992-06-20,Q6581097,male,Q50309,Okcheon County,"36.300833333333,127.56861111111",36.300833333333,127.56861111111,Q41066,North Chungcheong Province,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,gold,/wiki/Oh_Jin-hyek,Q488908,Oh Jin-hyek,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1981-08-15,Q6581097,male,Q42088,Nonsan,"36.203888888889,127.08472222222",36.203888888889,127.08472222222,Q41070,South Chungcheong Province,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,gold,/wiki/Kim_Je-deok,Q107619893,Kim Je-deok,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,2004-04-12,Q6581097,male,Q41154,North Gyeongsang Province,"36.25,128.75",36.25,128.75,Q503585,Korea under Japanese rule,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,silver,/wiki/Deng_Yu-cheng,Q107620836,Deng Yu-cheng,/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,1999-04-25,Q6581097,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,silver,/wiki/Tang_Chih-chun,Q56447903,Tang Chih-chun,/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,2001-03-16,Q6581097,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,silver,/wiki/Wei_Chun-heng,Q23770477,Wei Chun-heng,/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,1994-07-06,Q6581097,male,Q1867,Taipei,"25.047777777778,121.53194444444",25.047777777778,121.53194444444,Q865,Taiwan,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,bronze,/wiki/Takaharu_Furukawa,Q276094,Takaharu Furukawa,/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1984-08-09,Q6581097,male,Q146790,Aomori,"40.822222222222,140.7475",40.822222222222,140.7475,Q71699,Aomori Prefecture,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,bronze,/wiki/Yuki_Kawata,Q23770481,Yuki Kawata,/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1997-06-16,Q6581097,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,bronze,/wiki/Hiroki_Muto,Q107638795,Hiroki Muto,/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1997-06-26,Q6581097,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_individual,Q63985821,archery at the 2020 Summer Olympics – women's individual,gold,/wiki/An_San,Q107618974,An San,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,2001-02-27,Q6581072,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_individual,Q63985821,archery at the 2020 Summer Olympics – women's individual,silver,/wiki/Elena_Osipova_(archer),Q67915987,Elena Osipova (archer),/wiki/ROC_at_the_2020_Summer_Olympics,Q50014488,ROC at the 2020 Summer Olympics,NA,NA,1993-05-22,Q6581097,male,Q7951,Petropavlovsk-Kamchatsky,"53.016666666667,158.65",53.016666666667,158.65,Q27559915,Petropavlovsk-Kamchatsky Urban Okrug,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_individual,Q63985821,archery at the 2020 Summer Olympics – women's individual,bronze,/wiki/Lucilla_Boari,Q26131732,Lucilla Boari,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1997-03-24,Q6581072,female,Q6247,Mantua,"45.156388888889,10.791111111111",45.156388888889,10.791111111111,Q16204,Province of Mantua,ITC,Nord-Ovest,ITC4,Lombardia,ITC4B,Mantova
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,gold,/wiki/An_San,Q107618974,An San,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,2001-02-27,Q6581072,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,gold,/wiki/Jang_Min-hee,Q107619662,Jang Min-hee,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1999-04-05,Q6581072,female,Q20934,Incheon,"37.463888888889,126.64861111111",37.463888888889,126.64861111111,Q884,South Korea,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,gold,/wiki/Kang_Chae-young,Q21005304,Kang Chae-young,/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1996-06-08,Q6581072,female,Q41278,Ulsan,"35.55,129.31666666667",35.55,129.31666666667,Q884,South Korea,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,silver,/wiki/Svetlana_Gomboeva,Q107620507,Svetlana Gomboeva,/wiki/ROC_at_the_2020_Summer_Olympics,Q50014488,ROC at the 2020 Summer Olympics,NA,NA,1998-06-08,Q6581072,female,Q958163,Ust-Ordynsky,"52.816666666667,104.73333333333",52.816666666667,104.73333333333,Q16022457,NA,NA,NA,NA,NA,NA,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,silver,/wiki/Elena_Osipova_(archer),Q67915987,Elena Osipova (archer),/wiki/ROC_at_the_2020_Summer_Olympics,Q50014488,ROC at the 2020 Summer Olympics,NA,NA,1993-05-22,Q6581097,male,Q7951,Petropavlovsk-Kamchatsky,"53.016666666667,158.65",53.016666666667,158.65,Q27559915,Petropavlovsk-Kamchatsky Urban Okrug,NA,NA,NA,NA,NA,NA
