nuts2_id,nuts2_population
AL01,804689
AL02,1176240
AL03,865026
AT11,294436
AT12,1684287
AT13,1911191
AT21,561293
AT22,1246395
AT31,1490279
AT32,558410
AT33,757634
AT34,397139
BE10,1223364
BE21,1873095
BE22,880602
BE23,1526486
BE24,1156470
BE25,1202352
BE31,406794
BE32,1350295
BE33,1113943
BE34,289606
BE35,499433
BG31,728157
BG32,773450
BG33,924870
BG34,1024115
BG41,2094260
BG42,1406630
CH01,1654751
CH02,1886584
CH03,1171157
CH04,1539275
CH05,1183813
CH06,818962
CH07,351491
CY00,888005
CZ01,1324277
CZ02,1385141
CZ03,1233982
CZ04,1115629
CZ05,1517999
CZ06,1701802
CZ07,1214570
CZ08,1200539
DE11,4154223
DE12,2810854
DE13,2271351
DE14,1863966
DE21,4710865
DE22,1244169
DE23,1112102
DE24,1065371
DE25,1775169
DE26,1317619
DE27,1899442
DE30,3669491
DE40,2521893
DE50,681202
DE60,1847253
DE71,4019961
DE72,1048646
DE73,1219473
DE80,1608138
DE91,1594929
DE92,2148238
DE93,1716448
DE94,2533993
DEA1,5207457
DEA2,4478847
DEA3,2624625
DEA4,2055724
DEA5,3580568
DEB1,1498223
DEB2,533113
DEB3,2062567
DEC0,986887
DED2,1596566
DED4,1426380
DED5,1049025
DEE0,2194782
DEF0,2903773
DEG0,2133378
DK01,1846023
DK02,837359
DK03,1223105
DK04,1326340
DK05,589936
EE00,1328976
EL30,3738901
EL41,229516
EL42,347512
EL43,636504
EL51,598613
EL52,1872102
EL53,264670
EL54,333265
EL61,715115
EL62,203149
EL63,651065
EL64,556002
EL65,572151
ES11,2702592
ES12,1018899
ES13,582388
ES21,2189138
ES22,656509
ES23,315931
ES24,1330333
ES30,6747068
ES41,2401307
ES42,2045554
ES43,1061979
ES51,7652348
ES52,5029341
ES53,1210725
ES61,8478083
ES62,1504869
ES63,84085
ES64,84473
ES70,2236992
FI19,1378652
FI1B,1689725
FI1C,1148794
FI1D,1278237
FI20,29884
FR10,12291557
FRB0,2565726
FRC1,1618321
FRC2,1176196
FRD1,1463606
FRD2,1849826
FRE1,4061166
FRE2,1926629
FRF1,1908494
FRF2,1311830
FRF3,2315678
FRG0,3818421
FRH0,3358524
FRI1,3478538
FRI2,726253
FRI3,1813633
FRJ1,2864782
FRJ2,3087068
FRK1,1371820
FRK2,6692326
FRL0,5077582
FRM0,345867
FRY1,412682
FRY2,359821
FRY3,288086
FRY4,856858
FRY5,278926
HR03,1373802
HR04,2684363
HU11,1750216
HU12,1297102
HU21,1060755
HU22,994549
HU23,874573
HU31,1118577
HU32,1442660
HU33,1231094
IE04,877832
IE05,1641057
IE06,2445551
IS00,364134
ITC1,4311217
ITC2,125034
ITC3,1524826
ITC4,10027602
ITF1,1293941
ITF2,300516
ITF3,5712143
ITF4,3953305
ITF5,553254
ITF6,1894110
ITG1,4875290
ITG2,1611621
ITH1,532644
ITH2,545425
ITH3,4879133
ITH4,1206216
ITH5,4464119
ITI1,3692555
ITI2,870165
ITI3,1512672
ITI4,5755700
LI00,38747
LT01,820511
LT02,1973579
LU00,626108
LV00,1907675
ME00,621873
MK00,2076087
MKXX,168
MT00,514564
NL11,585866
NL12,649957
NL13,493682
NL21,1162406
NL22,2085952
NL23,423021
NL31,1319231
NL32,2879527
NL33,3744299
NL34,383488
NL41,2562955
NL42,1117201
NO01,1326682
NO02,387285
NO03,1011472
NO04,787123
NO05,905335
NO06,465136
NO07,484547
PL21,3371956
PL22,4475460
PL41,3479525
PL42,1671605
PL43,1001411
PL51,2864809
PL52,942233
PL61,2050976
PL62,1399038
PL63,2316135
PL71,2442685
PL72,1218743
PL81,2088292
PL82,2084447
PL84,1149389
PL91,3082399
PL92,2319035
PT11,3575338
PT15,438406
PT16,2217285
PT17,2863272
PT18,704558
PT20,242796
PT30,254254
RO11,2547429
RO12,2314826
RO21,3184215
RO22,2377101
RO31,2901376
RO32,2322002
RO41,1910409
RO42,1771480
RS11,1696192
RS12,1847274
RS21,1900429
RS22,1482810
SE11,2377081
SE12,1727398
SE21,870200
SE22,1537433
SE23,2059729
SE31,857762
SE32,376157
SE33,521829
SI03,1100012
SI04,995849
SK01,669592
SK02,1823792
SK03,1336785
SK04,1627704
TR10,15519267
TR21,1831151
TR22,1770777
TR31,4367251
TR32,3131322
TR33,3119860
TR41,4163022
TR42,3961953
TR51,5639076
TR52,2485653
TR61,3227410
TR62,4078365
TR63,3321755
TR71,1608193
TR72,2467565
TR81,1042760
TR82,793437
TR83,2829953
TR90,2690180
TRA1,1081652
TRA2,1118370
TRB1,1755735
TRB2,2174672
TRC1,2838319
TRC2,3829967
TRC3,2307332
