event_link,event_wikidata_id,event_name,event_sport_wikidata_id,event_sport,event_part_of_wikidata_id,event_part_of,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts0_id,nuts0_name,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts2_population,nuts2_gdp,nuts3_id,nuts3_name,nuts3_population,nuts3_gdp
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,gold,https://en.wikipedia.org/wiki/Mete_Gazoz,Q20988356,Mete Gazoz,https://en.wikipedia.org/wiki/Turkey_at_the_2020_Summer_Olympics,Q42914036,Turkey at the 2020 Summer Olympics,Q43,Turkey,1999-06-08,Q6581097,male,Q406,Istanbul,"41.01,28.960277777778",41.01,28.960277777778,Q534799,Istanbul Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,silver,https://en.wikipedia.org/wiki/Mauro_Nespoli,Q670425,Mauro Nespoli,https://en.wikipedia.org/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1987-11-22,Q6581097,male,Q39981,Voghera,"44.9925,9.0091666666667",44.9925,9.0091666666667,Q16231,Province of Pavia,IT,Italy,ITC,NORD-OVEST,ITC4,Lombardia,10027602,398779.09,ITC48,Pavia,540376,13668.92
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,https://en.wikipedia.org/wiki/Takaharu_Furukawa,Q276094,Takaharu Furukawa,https://en.wikipedia.org/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1984-08-09,Q6581097,male,Q146790,Aomori,"40.822222222222,140.7475",40.822222222222,140.7475,Q71699,Aomori Prefecture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,gold,https://en.wikipedia.org/wiki/Kim_Woo-jin_(archer),Q11739253,Kim Woo-Jin,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1992-06-20,Q6581097,male,Q50309,Okcheon County,"36.300833333333,127.56861111111",36.300833333333,127.56861111111,Q41066,North Chungcheong Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,gold,https://en.wikipedia.org/wiki/Oh_Jin-hyek,Q488908,Oh Jin-hyek,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,1981-08-15,Q6581097,male,Q42088,Nonsan,"36.203888888889,127.08472222222",36.203888888889,127.08472222222,Q41070,South Chungcheong Province,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,gold,https://en.wikipedia.org/wiki/Kim_Je-deok,Q107619893,Kim Je-deok,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,Q42913884,South Korea at the 2020 Summer Olympics,Q884,South Korea,2004-04-12,Q6581097,male,Q41154,North Gyeongsang Province,"36.25,128.75",36.25,128.75,Q884,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,silver,https://en.wikipedia.org/wiki/Deng_Yu-cheng,Q107620836,Deng Yu-cheng,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,1999-04-25,Q6581097,male,Q1867,Taipei,"25.047777777778,121.53194444444",25.047777777778,121.53194444444,Q865,Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,silver,https://en.wikipedia.org/wiki/Tang_Chih-chun,Q56447903,Tang Chih-chun,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,2001-03-16,Q6581097,male,Q24287568,Taipei County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,silver,https://en.wikipedia.org/wiki/Wei_Chun-heng,Q23770477,Wei Chun-heng,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Q42913844,Chinese Taipei at the 2020 Summer Olympics,Q865,Taiwan,1994-07-06,Q6581097,male,Q1867,Taipei,"25.047777777778,121.53194444444",25.047777777778,121.53194444444,Q865,Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,Q63985811,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,https://en.wikipedia.org/wiki/Takaharu_Furukawa,Q276094,Takaharu Furukawa,https://en.wikipedia.org/wiki/Japan_at_the_2020_Summer_Olympics,Q42914581,Japan at the 2020 Summer Olympics,Q17,Japan,1984-08-09,Q6581097,male,Q146790,Aomori,"40.822222222222,140.7475",40.822222222222,140.7475,Q71699,Aomori Prefecture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
