event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
archery at the 2020 Summer Olympics – men's team,silver,Deng Yu-cheng,Q107620836,Taiwan,Chinese Taipei at the 2020 Summer Olympics,male
archery at the 2020 Summer Olympics – men's team,silver,Tang Chih-chun,Q56447903,Taiwan,Chinese Taipei at the 2020 Summer Olympics,male
archery at the 2020 Summer Olympics – men's team,bronze,Yuki Kawata,Q23770481,Japan,Japan at the 2020 Summer Olympics,male
archery at the 2020 Summer Olympics – men's team,bronze,Hiroki Muto,Q107638795,Japan,Japan at the 2020 Summer Olympics,male
archery at the 2020 Summer Olympics – women's individual,gold,An San,Q107618974,South Korea,South Korea at the 2020 Summer Olympics,female
archery at the 2020 Summer Olympics – women's team,gold,An San,Q107618974,South Korea,South Korea at the 2020 Summer Olympics,female
archery at the 2020 Summer Olympics – Mixed team,gold,An San,Q107618974,South Korea,South Korea at the 2020 Summer Olympics,female
archery at the 2020 Summer Olympics – Mixed team,silver,Steve Wijler,Q42361303,Netherlands,Netherlands at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's 4 × 400 metres relay,gold,Trevor Stewart,Q107302664,United States of America,United States at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's 4 × 400 metres relay,silver,Ramsey Angela,Q105957190,Netherlands,Netherlands at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's 4 × 400 metres relay,bronze,Zibane Ngozi,Q87916473,Botswana,Botswana at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's 4 × 400 metres relay,bronze,Bayapo Ndori,Q107981836,Botswana,Botswana at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's 20 kilometres walk,bronze,Toshikazu Yamanishi,Q16611126,Japan,Japan at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's triple jump,silver,Zhu Yaming,Q32365671,People's Republic of China,China at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – men's discus throw,silver,Simon Pettersson,Q34998110,Sweden,Sweden at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – women's 5000 metres,bronze,Gudaf Tsegay,Q16224285,Ethiopia,Ethiopia at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 400 metres hurdles,bronze,Femke Bol,Q69424112,Netherlands,Netherlands at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 3000 metres steeplechase,bronze,Hyvin Kiyeng Jepkemoi,Q16558877,Kenya,Kenya at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,gold,Kaylin Whitney,Q17379658,United States of America,United States at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,silver,Natalia Kaczmarek,Q50330750,Poland,Poland at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Roneisha McGregor,Q57314742,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Candice McLeod,Q107360805,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Junelle Bromfield,Q29079569,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Stacey-Ann Williams,Q107713051,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – mixed 4 × 400 metres relay,gold,Natalia Kaczmarek,Q50330750,Poland,Poland at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – mixed 4 × 400 metres relay,silver,Anabel Medina,Q106686904,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – mixed 4 × 400 metres relay,bronze,Trevor Stewart,Q107302664,United States of America,United States at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – mixed 4 × 400 metres relay,bronze,Kaylin Whitney,Q17379658,United States of America,United States at the 2020 Summer Olympics,female
baseball at the 2020 Summer Olympics,gold,Masato Morishita,Q76970257,Japan,Japan at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,gold,Hiromi Itoh,Q102246676,Japan,Japan at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,gold,Ryoji Kuribayashi,Q102246767,Japan,Japan at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,gold,Kaima Taira,Q56886329,Japan,Japan at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Anthony Scott Carter,Q17129195,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Joe Ryan,Q106478481,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Ryder Ryan,Q107406388,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Simeon Woods Richardson,Q107406406,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Nick Allen,Q107418833,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Jamie Westbrook,Q74153767,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,silver,Eric Filia,Q106966852,United States of America,United States at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,bronze,Junior García,Q107598268,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,bronze,Denyi Reyes,Q72831705,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,bronze,Roldani Baldwin,Q107476074,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,male
baseball at the 2020 Summer Olympics,bronze,Gustavo Núñez,Q107490573,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,male
boxing at the 2020 Summer Olympics – men's flyweight,bronze,Ryomei Tanaka,Q106480024,Japan,Japan at the 2020 Summer Olympics,male
boxing at the 2020 Summer Olympics – men's featherweight,silver,Duke Ragan,Q38247286,United States of America,United States at the 2020 Summer Olympics,male
boxing at the 2020 Summer Olympics – men's middleweight,gold,Hebert Conceição,Q68101629,Brazil,Brazil at the 2020 Summer Olympics,male
boxing at the 2020 Summer Olympics – men's super heavyweight,silver,Richard Torrez,Q107383093,United States of America,United States at the 2020 Summer Olympics,male
boxing at the 2020 Summer Olympics – women's flyweight,silver,Buse Naz Çakıroğlu,Q64910596,Turkey,Turkey at the 2020 Summer Olympics,female
boxing at the 2020 Summer Olympics – women's featherweight,bronze,Karriss Artingstall,Q70703343,United Kingdom,Great Britain at the 2020 Summer Olympics,female
canoeing at the 2020 Summer Olympics – men's C-2 1000 metres,silver,Zheng Pengfei,Q107802143,People's Republic of China,China at the 2020 Summer Olympics,male
canoeing at the 2020 Summer Olympics – men's C-2 1000 metres,bronze,Tim Hecker,Q66749145,Germany,Germany at the 2020 Summer Olympics,male
canoeing at the 2020 Summer Olympics – women's C-2 500 metres,gold,Xu Shixiao,Q66739295,People's Republic of China,China at the 2020 Summer Olympics,female
canoeing at the 2020 Summer Olympics – women's C-2 500 metres,gold,Sun Mengya,Q66739300,People's Republic of China,China at the 2020 Summer Olympics,female
canoeing at the 2020 Summer Olympics – women's C-2 500 metres,silver,Anastasiia Chetverikova,Q66712824,Ukraine,Ukraine at the 2020 Summer Olympics,female
canoeing at the 2020 Summer Olympics – women's C-2 500 metres,bronze,Katie Vincent,Q39081515,Canada,Canada at the 2020 Summer Olympics,female
cycling at the 2020 Summer Olympics – men's team pursuit,silver,Rasmus Lund Pedersen,Q29052712,Denmark,Denmark at the 2020 Summer Olympics,male
cycling at the 2020 Summer Olympics – women's team sprint,gold,Bao Shanju,Q104209144,People's Republic of China,China at the 2020 Summer Olympics,female
cycling at the 2020 Summer Olympics – women's cross-country,silver,Sina Frei,Q25338319,Switzerland,Switzerland at the 2020 Summer Olympics,female
cycling at the 2020 Summer Olympics – women's BMX race,bronze,Merel Smulders,Q25935615,Netherlands,Netherlands at the 2020 Summer Olympics,female
diving at the 2020 Summer Olympics – men's 3 metre springboard,silver,Wang Zongyuan,Q65556274,People's Republic of China,China at the 2020 Summer Olympics,male
diving at the 2020 Summer Olympics – men's synchronized 3 metre springboard,gold,Wang Zongyuan,Q65556274,People's Republic of China,China at the 2020 Summer Olympics,male
diving at the 2020 Summer Olympics – women's 10 metre platform,silver,Chen Yuxi,Q65619992,People's Republic of China,China at the 2020 Summer Olympics,female
diving at the 2020 Summer Olympics – women's synchronized 3 metre springboard,bronze,Lena Hentschel,Q56062891,Germany,Germany at the 2020 Summer Olympics,female
diving at the 2020 Summer Olympics – women's synchronized 10 metre platform,gold,Chen Yuxi,Q65619992,People's Republic of China,China at the 2020 Summer Olympics,female
equestrian at the 2020 Summer Olympics – individual dressage,gold,Jessica von Bredow-Werndl,Q16752978,Germany,Germany at the 2020 Summer Olympics,female
equestrian at the 2020 Summer Olympics – team dressage,gold,Jessica von Bredow-Werndl,Q16752978,Germany,Germany at the 2020 Summer Olympics,female
equestrian at the 2020 Summer Olympics – individual eventing,silver,Tom McEwen,Q107392183,United Kingdom,Great Britain at the 2020 Summer Olympics,male
equestrian at the 2020 Summer Olympics – team eventing,gold,Laura Collett,Q107571009,United Kingdom,Great Britain at the 2020 Summer Olympics,female
equestrian at the 2020 Summer Olympics – team eventing,gold,Tom McEwen,Q107392183,United Kingdom,Great Britain at the 2020 Summer Olympics,male
equestrian at the 2020 Summer Olympics – team eventing,silver,Kevin McNab,Q107765699,Australia,Australia at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's individual épée,bronze,Ihor Reyzlin,Q3792473,Ukraine,Ukraine at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team épée,gold,Masaru Yamada,Q26214601,Japan,Japan at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team épée,silver,Nikita Glazkov,Q33437860,NA,ROC at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team épée,bronze,Ma Se-geon,Q107340046,South Korea,South Korea at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team épée,bronze,Song Jae-ho,Q107710615,South Korea,South Korea at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team foil,silver,Anton Borodachev,Q107360814,NA,ROC at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team foil,silver,Kirill Borodachev,Q107358877,NA,ROC at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team foil,silver,Vladislav Mylnikov,Q107642528,NA,ROC at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team foil,bronze,Nick Itkin,Q86453232,United States of America,United States at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – men's team sabre,gold,Kim Jun-ho,Q41674720,South Korea,South Korea at the 2020 Summer Olympics,male
fencing at the 2020 Summer Olympics – women's team épée,silver,Lee Hye-in,Q55281991,South Korea,South Korea at the 2020 Summer Olympics,female
fencing at the 2020 Summer Olympics – women's team sabre,bronze,Choi Soo-yeon,Q55281975,South Korea,South Korea at the 2020 Summer Olympics,female
field hockey at the 2020 Summer Olympics – men's tournament,silver,Dylan Martin,Q107719125,Australia,Australia at the 2020 Summer Olympics,male
field hockey at the 2020 Summer Olympics – men's tournament,silver,Trent Mitton,Q7838433,Australia,Australia at the 2020 Summer Olympics,male
field hockey at the 2020 Summer Olympics – men's tournament,bronze,Dilpreet Singh,Q51754055,India,India at the 2020 Summer Olympics,male
field hockey at the 2020 Summer Olympics – men's tournament,bronze,Hardik Singh,Q65557879,India,India at the 2020 Summer Olympics,male
