event_link,event_wikidata_id,event_name,event_sport_wikidata_id,event_sport,event_part_of_wikidata_id,event_part_of,medal,medalist_link,medalist_wikidata_id,medalist_name,delegation_link,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,date_of_birth,sex_or_gender_wikidata_id,sex_or_gender,place_of_birth_wikidata_id,place_of_birth,place_of_birth_coordinates,lat,lon,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,nuts0_id,nuts0_name,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts2_population,nuts2_gdp,nuts3_id,nuts3_name,nuts3_population,nuts3_gdp
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,Q63985823,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,silver,/wiki/Mauro_Nespoli,Q670425,Mauro Nespoli,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1987-11-22,Q6581097,male,Q39981,Voghera,"44.9925,9.0091666666667",44.9925,9.0091666666667,Q16231,Province of Pavia,IT,Italy,ITC,Nord-Ovest,ITC4,Lombardia,10027602,398779.09,ITC48,Pavia,540376,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_individual,Q63985821,archery at the 2020 Summer Olympics – women's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,/wiki/Lucilla_Boari,Q26131732,Lucilla Boari,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1997-03-24,Q6581072,female,Q6247,Mantua,"45.156388888889,10.791111111111",45.156388888889,10.791111111111,Q16204,Province of Mantua,IT,Italy,ITC,Nord-Ovest,ITC4,Lombardia,10027602,398779.09,ITC4B,Mantova,406919,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,/wiki/Michelle_Kroppen,Q107619648,Michelle Kroppen,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1996-04-19,Q6581072,female,Q243526,Kevelaer,"51.5833333333333,6.25",51.5833333333333,6.25,Q6246,Kleve,DE,Germany,DEA,Nordrhein-Westfalen,DEA1,Düsseldorf,5207457,221024.09,DEA1B,Kleve,312465,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,/wiki/Charline_Schwarz,Q107619832,Charline Schwarz,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,2001-01-15,Q6581072,female,Q2090,Nuremberg,"49.4538888888889,11.0775",49.4538888888889,11.0775,Q10551,Middle Franconia,DE,Germany,DE2,Bayern,DE25,Mittelfranken,1775169,82247.03,DE254,"Nürnberg, Kreisfreie Stadt",518370,NA
/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Women%27s_team,Q63985814,archery at the 2020 Summer Olympics – women's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,bronze,/wiki/Lisa_Unruh,Q18128952,Lisa Unruh,/wiki/Germany_at_the_2020_Summer_Olympics,Q42914232,Germany at the 2020 Summer Olympics,Q183,Germany,1988-04-12,Q6581072,female,Q64,Berlin,"52.516666666667,13.383333333333",52.516666666667,13.383333333333,Q148499,Margraviate of Brandenburg,DE,Germany,DE3,Berlin,DE30,Berlin,3669491,154672.63,DE300,Berlin,3669491,NA
/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_high_jump,Q63985740,athletics at the 2020 Summer Olympics – men's high jump,Q39080746,athletics at the 2020 Summer Olympics,Q542,athletics,gold,/wiki/Gianmarco_Tamberi,Q2012594,Gianmarco Tamberi,/wiki/Italy_at_the_2020_Summer_Olympics,Q42914554,Italy at the 2020 Summer Olympics,Q38,Italy,1992-06-01,Q6581097,male,Q13146,Civitanova Marche,"43.30675,13.7286",43.30675,13.7286,Q16203,Province of Macerata,IT,Italy,ITI,Centro (IT),ITI3,Marche,1512672,42391.85,ITI33,Macerata,310815,NA
/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_high_jump,Q63985740,athletics at the 2020 Summer Olympics – men's high jump,Q39080746,athletics at the 2020 Summer Olympics,Q542,athletics,gold,/wiki/Gianmarco_Tamberi,Q2012594,Gianmarco Tamberi,/wiki/Qatar_at_the_2020_Summer_Olympics,Q42913824,Qatar at the 2020 Summer Olympics,Q846,Qatar,1992-06-01,Q6581097,male,Q13146,Civitanova Marche,"43.30675,13.7286",43.30675,13.7286,Q16203,Province of Macerata,IT,Italy,ITI,Centro (IT),ITI3,Marche,1512672,42391.85,ITI33,Macerata,310815,NA
/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_long_jump,Q65242197,athletics at the 2020 Summer Olympics – men's long jump,Q39080746,athletics at the 2020 Summer Olympics,Q542,athletics,gold,/wiki/Miltiadis_Tentoglou,Q26397318,Miltiadis Tentoglou,/wiki/Greece_at_the_2020_Summer_Olympics,Q42914356,Greece at the 2020 Summer Olympics,Q41,Greece,1998-03-18,Q6581097,male,Q216982,Grevena,"40.085,21.4275",40.085,21.4275,Q3559710,Grevena Municipality,EL,NA,EL5,Voreia Elláda,EL53,Dytiki Makedonia,264670,3767.34,EL531,"Grevena, Kozani",169446,NA
/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_discus_throw,Q65242118,athletics at the 2020 Summer Olympics – men's discus throw,Q39080746,athletics at the 2020 Summer Olympics,Q542,athletics,gold,/wiki/Daniel_St%C3%A5hl,Q18706472,Daniel Ståhl,/wiki/Sweden_at_the_2020_Summer_Olympics,Q42913974,Sweden at the 2020 Summer Olympics,Q34,Sweden,1992-08-27,Q6581097,male,Q34,Sweden,"61,15",61,15,NA,NA,SE,Sweden,SE3,Norra Sverige,SE31,Norra Mellansverige,857762,31358.24,SE312,Dalarnas län,287966,NA
/wiki/Athletics_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_discus_throw,Q65242118,athletics at the 2020 Summer Olympics – men's discus throw,Q39080746,athletics at the 2020 Summer Olympics,Q542,athletics,bronze,/wiki/Lukas_Wei%C3%9Fhaidinger,Q87537,Lukas Weißhaidinger,/wiki/Austria_at_the_2020_Summer_Olympics,Q42913607,Austria at the 2020 Summer Olympics,Q40,Austria,1992-02-20,Q6581097,male,Q255012,Schärding,"48.456944444444,13.431666666667",48.456944444444,13.431666666667,Q47482,Schärding District,AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,1490279,68379.88,AT311,Innviertel,289509,NA
