nuts2_id,nuts2_name,country,medals,nuts2_population,medals_per_million_residents
FRY1,Guadeloupe,France,4,412682,9.692693163258877
SE31,Norra Mellansverige,Sweden,6,857762,6.994947316388462
UKI3,Inner London - West,United Kingdom,8,1190513,6.719792224024433
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Belgium,8,1223364,6.539345607685039
NL21,Overijssel,Netherlands,7,1162406,6.021992315937805
HU11,Budapest,Hungary,10,1750216,5.713580495207449
SE32,Mellersta Norrland,Sweden,2,376157,5.316928835566
UKM8,West Central Scotland,United Kingdom,8,1541998,5.188074173896465
BE31,Prov. Brabant Wallon,Belgium,2,406794,4.916493360275717
DE50,Bremen,Germany,3,681202,4.403980023546613
UKD6,Cheshire,United Kingdom,4,931347,4.294854656749847
BE21,Prov. Antwerpen,Belgium,8,1873095,4.271006008771579
SE12,Östra Mellansverige,Sweden,7,1727398,4.0523376778252604
UKD3,Greater Manchester,United Kingdom,11,2822003,3.8979405762502735
NL31,Utrecht,Netherlands,5,1319231,3.7900868005679063
EL53,Dytiki Makedonia,Greece,1,264670,3.778289945970454
CH06,Zentralschweiz,Switzerland,3,818962,3.6631736271035775
HR03,Jadranska Hrvatska,Croatia,5,1373802,3.6395346636560433
DK02,Sjælland,Denmark,3,837359,3.582692727969724
FRY3,Guyane,France,1,288086,3.4711856876071727
ITF2,Molise,Italy,1,300516,3.3276098444009636
UKF1,Derbyshire and Nottinghamshire,United Kingdom,7,2210381,3.166874850987228
NL41,Noord-Brabant,Netherlands,8,2562955,3.1213969812189446
NL12,Friesland (NL),Netherlands,2,649957,3.077126640685461
EE00,Eesti,Estonia,4,1328976,3.009836144520292
EL54,Ipeiros,Greece,1,333265,3.0006151261008505
CZ06,Jihovýchod,Czechia,5,1701802,2.938062124736015
CH07,Ticino,Switzerland,1,351491,2.8450230589118926
HU21,Közép-Dunántúl,Hungary,3,1060755,2.828174272098647
FRY2,Martinique,France,1,359821,2.7791596377087497
SI03,Vzhodna Slovenija,Slovenia,3,1100012,2.727242975531176
NL33,Zuid-Holland,Netherlands,10,3744299,2.6707268837237623
UKE4,West Yorkshire,United Kingdom,6,2324560,2.5811336338920055
UKL2,East Wales,United Kingdom,3,1168000,2.568493150684932
CH05,Ostschweiz,Switzerland,3,1183813,2.5341840307548575
AT34,Vorarlberg,Austria,1,397139,2.518010067004248
RO21,Nord-Est,Romania,8,3184215,2.512393164406298
DED2,Dresden,Germany,4,1596566,2.5053771657419737
ITH4,Friuli-Venezia Giulia,Italy,3,1206216,2.4871167353110883
UKI4,Inner London - East,United Kingdom,6,2430890,2.468231799875766
NL22,Gelderland,Netherlands,5,2085952,2.3969870831160063
NL23,Flevoland,Netherlands,1,423021,2.363948834691422
RS11,Beogradski region,Serbia,4,1696192,2.358223597328604
HU12,Pest,Hungary,3,1297102,2.3128481800197673
SE21,Småland med öarna,Sweden,2,870200,2.2983222247759136
BE22,Prov. Limburg (BE),Belgium,2,880602,2.2711735835258153
DK01,Hovedstaden,Denmark,4,1846023,2.1668202400511802
LV00,Latvija,Latvia,4,1907675,2.0967932168739436
NL32,Noord-Holland,Netherlands,6,2879527,2.0836755481021707
UKI5,Outer London - East and North East,United Kingdom,4,1940638,2.06117781884102
SI04,Zahodna Slovenija,Slovenia,2,995849,2.008336605248386
UKD4,Lancashire,United Kingdom,3,1495318,2.0062622131212224
FR10,Ile-de-France,France,24,12291557,1.9525597936860237
SE33,Övre Norrland,Sweden,1,521829,1.9163365776911594
DEB2,Trier,Germany,1,533113,1.875774929517757
HR04,Kontinentalna Hrvatska,Croatia,5,2684363,1.8626392928229156
UKG2,Shropshire and Staffordshire,United Kingdom,3,1626956,1.8439343166010638
ITH2,Provincia Autonoma di Trento,Italy,1,545425,1.8334326442682312
PL42,Zachodniopomorskie,Poland,3,1671605,1.794682356178643
AT21,Kärnten,Austria,1,561293,1.7816006969621927
PL84,Podlaskie,Poland,2,1149389,1.7400549335342517
FRC2,Franche-Comté,France,2,1176196,1.7003968726300718
ITC4,Lombardia,Italy,17,10027602,1.6953205761457226
UKK4,Devon,United Kingdom,2,1195198,1.6733629072337806
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",United Kingdom,4,2417428,1.6546511416265552
DK03,Syddanmark,Denmark,2,1223105,1.635182588575797
DE30,Berlin,Germany,6,3669491,1.6351041602227665
UKH3,Essex,United Kingdom,3,1841887,1.628764413886411
HU33,Dél-Alföld,Hungary,2,1231094,1.6245713162439261
UKJ4,Kent,United Kingdom,3,1854717,1.6174974403103006
DE14,Tübingen,Germany,3,1863966,1.6094714173970985
CH02,Espace Mittelland,Switzerland,3,1886584,1.5901756826094147
DE27,Schwaben,Germany,3,1899442,1.5794112165572836
RS21,Region Šumadije i Zapadne Srbije,Serbia,3,1900429,1.5785909392037272
NO01,Oslo og Akershus,Norway,2,1326682,1.50752026484116
UKJ3,Hampshire and Isle of Wight,United Kingdom,3,1993050,1.5052306766011891
UKM7,Eastern Scotland,United Kingdom,3,1998699,1.5009763851385327
FRK2,Rhône-Alpes,France,10,6692326,1.494248785848149
DE71,Darmstadt,Germany,6,4019961,1.492551793412921
FRH0,Bretagne,France,5,3358524,1.488749224361654
CZ02,Střední Čechy,Czechia,2,1385141,1.4438963253560468
PL62,Warmińsko-mazurskie,Poland,2,1399038,1.4295537362101673
UKJ2,"Surrey, East and West Sussex",United Kingdom,4,2909838,1.3746469734741247
BG31,Severozapaden,Bulgaria,1,728157,1.3733302021404725
AT33,Tirol,Austria,1,757634,1.3198985262013057
BE23,Prov. Oost-Vlaanderen,Belgium,2,1526486,1.3101987178395347
SE22,Sydsverige,Sweden,2,1537433,1.300869696435552
CH04,Zürich,Switzerland,2,1539275,1.2993129882574588
ITF4,Puglia,Italy,5,3953305,1.26476454510846
DE80,Mecklenburg-Vorpommern,Germany,2,1608138,1.24367436127994
ITG2,Sardegna,Italy,2,1611621,1.2409865594950673
ITH3,Veneto,Italy,6,4879133,1.2297266748006255
IE06,Eastern and Midland,Ireland,3,2445551,1.2267174146030895
LT01,Sostinės regionas,Lithuania,1,820511,1.2187527041075623
UKE2,North Yorkshire,United Kingdom,1,824054,1.2135127066915519
DEA1,Düsseldorf,Germany,6,5207457,1.1521938635307023
ITI2,Umbria,Italy,1,870165,1.149207334241207
IE04,Northern and Western,Ireland,1,877832,1.1391701373383518
ITH5,Emilia-Romagna,Italy,5,4464119,1.1200418268419816
PL22,Śląskie,Poland,5,4475460,1.1172035947142864
NO05,Vestlandet,Norway,1,905335,1.1045635041172606
DE60,Hamburg,Germany,2,1847253,1.0826887275321788
BG33,Severoiztochen,Bulgaria,1,924870,1.081233038156714
UKM9,Southern Scotland,United Kingdom,1,947186,1.055758847787024
FRF1,Alsace,France,2,1908494,1.0479467056223388
DEF0,Schleswig-Holstein,Germany,3,2903773,1.0331386096640474
ITG1,Sicilia,Italy,5,4875290,1.025580016778489
UKL1,West Wales and The Valleys,United Kingdom,2,1968383,1.0160624228110078
DEC0,Saarland,Germany,1,986887,1.0132872355193654
NO03,Sør-Østlandet,Norway,1,1011472,0.9886581141148741
FRL0,Provence-Alpes-Côte d’Azur,France,5,5077582,0.9847206800402238
ES12,Principado de Asturias,Spain,1,1018899,0.9814515472092916
DEA4,Detmold,Germany,2,2055724,0.9728932483154353
SE23,Västsverige,Sweden,2,2059729,0.9710015249578949
DEB3,Rheinhessen-Pfalz,Germany,2,2062567,0.9696654702610873
PL81,Lubelskie,Poland,2,2088292,0.9577204720412663
UKI7,Outer London - West and North West,United Kingdom,2,2103443,0.9508220569799134
ES43,Extremadura,Spain,1,1061979,0.9416382056519008
DE92,Hannover,Germany,2,2148238,0.930995541462352
ITC1,Piemonte,Italy,4,4311217,0.927812262755505
CZ04,Severozápad,Czechia,1,1115629,0.8963553295943365
TRA2,"Agri, Kars, Igdir, Ardahan",Turkey,1,1118370,0.8941584627627708
HU31,Észak-Magyarország,Hungary,1,1118577,0.8939929928829218
PL63,Pomorskie,Poland,2,2316135,0.8635075243886906
SE11,Stockholm,Sweden,2,2377081,0.841368047618066
UKC1,Tees Valley and Durham,United Kingdom,1,1201543,0.8322631815923358
BE25,Prov. West-Vlaanderen,Belgium,1,1202352,0.8317031950709942
ES53,Illes Balears,Spain,1,1210725,0.8259513927605361
DE73,Kassel,Germany,1,1219473,0.8200263556470705
CZ03,Jihozápad,Czechia,1,1233982,0.8103845923198232
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",United Kingdom,2,2516568,0.7947331445047382
UKH1,East Anglia,United Kingdom,2,2521676,0.7931233037075341
FRF2,Champagne-Ardenne,France,1,1311830,0.7622938947881966
UKI6,Outer London - South,United Kingdom,1,1316772,0.7594329162527758
CZ01,Praha,Czechia,1,1324277,0.7551290251208773
DK04,Midtjylland,Denmark,1,1326340,0.7539544913069047
SK03,Stredné Slovensko,Slovakia,1,1336785,0.748063450741892
ES11,Galicia,Spain,2,2702592,0.7400303116415649
UKG1,"Herefordshire, Worcestershire and Warwickshire",United Kingdom,1,1352539,0.7393502146703348
FI19,Länsi-Suomi,Finland,1,1378652,0.7253462077449566
DE11,Stuttgart,Germany,3,4154223,0.7221567065610103
UKE3,South Yorkshire,United Kingdom,1,1404971,0.711758463341948
ITF3,Campania,Italy,4,5712143,0.700262580961296
HU32,Észak-Alföld,Hungary,1,1442660,0.693164016469577
UKC2,Northumberland and Tyne and Wear,United Kingdom,1,1455437,0.6870788635990428
UKG3,West Midlands,United Kingdom,2,2928377,0.6829721719573675
AT31,Oberösterreich,Austria,1,1490279,0.6710152931095452
DEA2,Köln,Germany,3,4478847,0.66981524486101
DEB1,Koblenz,Germany,1,1498223,0.6674573811775684
ITI3,Marche,Italy,1,1512672,0.6610818472213408
CZ05,Severovýchod,Czechia,1,1517999,0.6587619622937828
DE21,Oberbayern,Germany,3,4710865,0.6368257209663194
IE05,Southern,Ireland,1,1641057,0.6093633554471295
CH01,Région lémanique,Switzerland,1,1654751,0.604320529191401
AT12,Niederösterreich,Austria,1,1684287,0.5937230412631577
PL21,Małopolskie,Poland,2,3371956,0.5931275497070543
TR22,"Balikesir, Çanakkale",Turkey,1,1770777,0.5647238472150926
DE25,Mittelfranken,Germany,1,1775169,0.5633266466460376
FRI3,Poitou-Charentes,France,1,1813633,0.5513794687238267
SK02,Západné Slovensko,Slovakia,1,1823792,0.5483081404019756
UKF2,"Leicestershire, Rutland and Northamptonshire",United Kingdom,1,1843764,0.5423687630304095
ITI1,Toscana,Italy,2,3692555,0.5416303887145892
RS12,Region Vojvodine,Serbia,1,1847274,0.5413382097079263
FRD2,Haute-Normandie,France,1,1849826,0.5405913853519196
UKH2,Bedfordshire and Hertfordshire,United Kingdom,1,1871847,0.5342316973556065
ES42,Castilla-La Mancha,Spain,1,2045554,0.4888651191804274
PL61,Kujawsko-pomorskie,Poland,1,2050976,0.4875727458536814
MK00,Severna Makedonija,North Macedonia,1,2076087,0.48167538258271453
DEG0,Thüringen,Germany,1,2133378,0.4687401857523608
ES21,País Vasco,Spain,1,2189138,0.45680080470029755
DE13,Freiburg,Germany,1,2271351,0.44026660784704785
FRF3,Lorraine,France,1,2315678,0.4318389689758248
RO32,Bucureşti - Ilfov,Romania,1,2322002,0.4306628504195948
ES41,Castilla y León,Spain,1,2401307,0.4164398804484391
PL71,Łódzkie,Poland,1,2442685,0.40938557366176975
TR72,"Kayseri, Sivas, Yozgat",Turkey,1,2467565,0.40525781489038787
DE40,Brandenburg,Germany,1,2521893,0.39652752912197303
DE94,Weser-Ems,Germany,1,2533993,0.39463408146747053
FRB0,Centre - Val de Loire,France,1,2565726,0.3897532316389201
DE12,Karlsruhe,Germany,1,2810854,0.3557637643221597
PT17,Área Metropolitana de Lisboa,Portugal,1,2863272,0.3492507872112744
FRJ1,Languedoc-Roussillon,France,1,2864782,0.34906670036323884
PL51,Dolnośląskie,Poland,1,2864809,0.3490634105100899
PL91,Warszawski stołeczny,Poland,1,3082399,0.32442263315034814
ES30,Comunidad de Madrid,Spain,2,6747068,0.2964250545570313
FRI1,Aquitaine,France,1,3478538,0.287477095262435
PL41,Wielkopolskie,Poland,1,3479525,0.2873955496799132
DEA5,Arnsberg,Germany,1,3580568,0.2792852977516416
EL30,Attiki,Greece,1,3738901,0.2674582718290749
FRG0,Pays de la Loire,France,1,3818421,0.2618883564698602
FRE1,Nord-Pas de Calais,France,1,4061166,0.24623470205354817
ES61,Andalucía,Spain,2,8478083,0.2359023850084978
TR31,Izmir,Turkey,1,4367251,0.22897699262075846
TR51,Ankara,Turkey,1,5639076,0.1773340171333034
